주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
부산광역시 해운대구 해운대해변로 84 (우동),35.160586,129.1399465,POINT (512745.3546141657 3890860.6412807065),120,1848,2254,2519,2771,3006,3135,3228,3291,3512,3360,5,180,603,20230104
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045,POINT (506963.52201884694 3896020.215066697),120,1775,2247,2400,2206,2322,2589,2865,3188,2755,3388,5,122,356,20230104
부산 동래구 명장로 32,35.2047638,129.1042668,POINT (509490.75695474923 3895755.9540068014),120,1832,1972,1974,1956,1874,1800,1858,2296,1907,2048,5,98,294,20230104
부산 북구 덕천2길 10,35.20825,129.0066182,POINT (500602.3876390696 3896137.6151377317),120,1619,1603,2006,1759,1771,1709,1930,3450,3112,2527,5,78,349,20230104
부산 금정구 청룡로 25,35.2752872,129.089844,POINT (508170.8625717864 3903575.7624749863),119,1666,1854,2014,1971,2296,2317,2379,2373,2102,2447,5,99,380,20230104
부산 해운대구 양운로 91,35.1709056,129.1742568,POINT (515868.09657888475 3892010.0128196743),120,1729,2316,2380,2372,2478,2434,2435,2801,2236,2423,5,140,504,20230104
부산광역시 강서구 체육공원로 43,35.209732,128.9738117,POINT (497616.38787982654 3896302.263003819),120,1175,1290,1171,1104,1090,1075,1073,1067,1076,1074,6,10,309,20230104
부산 연제구 중앙대로 1001,35.1800626,129.0745963,POINT (506792.0911102238 3893014.1667127283),120,1514,1566,1641,1615,1832,1906,1938,1917,1840,1951,5,63,356,20230104
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149,POINT (505751.4975136253 3890338.2432387522),120,1877,2542,3112,3798,4217,4257,4277,4748,4675,4382,5,255,936,20230104
부산 기장군 기장읍 읍내로 69,35.2459958,129.2121378,POINT (519299.8277695134 3900344.2366887503),120,1954,2829,2976,3266,3378,3542,3591,4078,3725,3676,5,231,366,20230104
부산 금정구 부곡로156번길 7,35.2298287,129.0927353,POINT (508438.52154108864 3898534.6168875108),120,1684,1744,1872,1654,1656,1570,1675,2202,1824,2060,5,67,199,20230104
부산 수영구 광안로21번가길 57,35.1570488,129.1181685,POINT (510762.43056331616 3890465.7959430926),120,2007,2169,2729,3438,3816,4001,4046,4357,4002,4028,5,247,711,20230104
부산 사상구 삼덕로 83,35.1739233,128.9856419,POINT (498692.57796052453 3892330.8687092853),120,1264,1315,1219,1139,1121,1108,1120,1103,1100,1095,6,15,309,20230104
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521,POINT (502063.1312824335 3890253.9888881603),120,1720,1829,1808,1798,1844,1865,1983,2363,1986,2249,5,82,411,20230104
부산광역시 북구 용당로16번길 22,35.2328515,129.0089178,POINT (500811.45200485893 3898865.943786873),120,1654,2435,2422,2374,2346,2184,2207,2370,2342,2255,6,141,295,20230104
부산광역시 해운대구 센텀동로 191,35.1827807,129.1202801,POINT (510951.29819314217 3893319.6785135884),120,1843,1852,2073,2328,2532,2943,3123,3333,2815,3279,5,135,472,20230104
부산광역시 금정구 금사로 217,35.2301064,129.1206659,POINT (510980.05215648294 3898568.144285479),120,1657,2086,2267,2191,2338,2362,2456,3298,2658,2898,5,122,394,20230104
부산 기장군 정관읍 용수로 4,35.3256151,129.1801176,POINT (516370.6626150071 3909168.3916286547),120,1720,1657,1691,1693,1891,1967,2032,2294,2146,2076,5,72,264,20230104
부산광역시 사상구 모덕로 2,35.1824537,128.976956,POINT (497901.8751577844 3893277.034230654),120,1238,1331,1212,1153,1128,1132,1125,1093,1097,1110,6,15,309,20230104
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149,POINT (505751.4975136253 3890338.2432387522),114,1989,2616,3263,3910,4300,4376,4383,4841,4571,4540,5,255,799,20230119
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045,POINT (506963.52201884694 3896020.215066697),114,1873,2476,2674,2791,3067,3167,3598,3966,3463,3921,5,182,274,20230119
부산광역시 사상구 모덕로 2,35.1824537,128.976956,POINT (497901.8751577844 3893277.034230654),114,1236,1242,1150,1105,1100,1079,1098,1059,1043,1078,6,11,211,20230119
부산광역시 금정구 금사로 217,35.2301064,129.1206659,POINT (510980.05215648294 3898568.144285479),114,1736,2536,2708,2916,3005,2984,2957,3636,2976,3260,5,195,545,20230119
부산광역시 해운대구 센텀동로 191,35.1827807,129.1202801,POINT (510951.29819314217 3893319.6785135884),114,1832,1848,2134,2439,2633,2961,3151,3344,2645,3276,5,147,321,20230119
부산광역시 북구 용당로16번길 22,35.2328515,129.0089178,POINT (500811.45200485893 3898865.943786873),118,1751,2795,2776,2750,2640,2404,2629,2695,2618,2516,5,178,181,20230119
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521,POINT (502063.1312824335 3890253.9888881603),114,1784,1740,1794,1839,2071,2141,2195,2442,2101,2412,5,86,343,20230119
부산 사상구 삼덕로 83,35.1739233,128.9856419,POINT (498692.57796052453 3892330.8687092853),114,1267,1260,1175,1115,1111,1104,1094,1055,1032,1074,6,12,211,20230119
부산 수영구 광안로21번가길 57,35.1570488,129.1181685,POINT (510762.43056331616 3890465.7959430926),114,2212,2187,2640,3211,3224,3204,3339,4096,3688,3453,5,225,591,20230119
