주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
부산광역시 사상구 모덕로 2,35.1824537,128.976956,POINT (497901.8751577844 3893277.034230654),114,1362,1446,1319,1237,1217,1216,1218,1129,1151,1218,6,25,300,20210104
부산 동래구 명장로 32,35.2047638,129.1042668,POINT (509490.75695474923 3895755.9540068014),114,1970,2468,2396,2332,2198,2181,2238,2094,1842,2295,10,136,275,20210104
부산 북구 덕천2길 10,35.20825,129.0066182,POINT (500602.3876390696 3896137.6151377317),114,1835,1811,2080,1900,1978,1952,2176,3107,2781,2652,5,92,259,20210104
부산 금정구 청룡로 25,35.2752872,129.089844,POINT (508170.8625717864 3903575.7624749863),113,1721,1910,1979,1917,2025,2055,2011,2450,2211,2250,5,94,395,20210104
부산 해운대구 양운로 91,35.1709056,129.1742568,POINT (515868.09657888475 3892010.0128196743),114,1888,2459,2467,2459,2420,2513,2477,2876,2264,2518,5,149,503,20210104
부산광역시 강서구 체육공원로 43,35.209732,128.9738117,POINT (497616.38787982654 3896302.263003819),114,1405,1500,1352,1235,1237,1200,1194,1126,1135,1172,6,24,300,20210104
부산 연제구 중앙대로 1001,35.1800626,129.0745963,POINT (506792.0911102238 3893014.1667127283),114,1792,1848,1865,1849,1964,2095,2079,2050,1981,2030,5,87,278,20210104
부산 기장군 기장읍 읍내로 69,35.2459958,129.2121378,POINT (519299.8277695134 3900344.2366887503),114,2096,2628,2806,3120,3427,3582,3601,4043,3787,3701,5,216,386,20210104
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045,POINT (506963.52201884694 3896020.215066697),114,1879,2294,2426,2235,2440,2636,2867,3241,2752,3277,5,126,424,20210104
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149,POINT (505751.4975136253 3890338.2432387522),114,2139,2699,3228,3856,4169,4233,4342,4900,4754,4531,5,255,902,20210104
부산 금정구 부곡로156번길 7,35.2298287,129.0927353,POINT (508438.52154108864 3898534.6168875108),114,1873,2010,2176,1890,1822,1861,1928,2398,1972,2201,5,91,242,20210104
부산 수영구 광안로21번가길 57,35.1570488,129.1181685,POINT (510762.43056331616 3890465.7959430926),114,2238,2575,3040,3479,3848,3779,3905,4286,4137,3907,5,252,782,20210104
부산 사상구 삼덕로 83,35.1739233,128.9856419,POINT (498692.57796052453 3892330.8687092853),114,1414,1520,1365,1270,1263,1247,1219,1153,1141,1219,6,28,300,20210104
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521,POINT (502063.1312824335 3890253.9888881603),108,1793,1869,1883,1856,2028,2087,2116,2297,2034,2297,5,87,435,20210104
부산광역시 북구 용당로16번길 22,35.2328515,129.0089178,POINT (500811.45200485893 3898865.943786873),114,1772,2495,2484,2455,2425,2409,2403,2608,2534,2329,10,148,295,20210104
부산광역시 해운대구 센텀동로 191,35.1827807,129.1202801,POINT (510951.29819314217 3893319.6785135884),114,1837,1886,2038,2231,2382,2948,3127,3105,2524,3315,5,126,425,20210104
부산광역시 금정구 금사로 217,35.2301064,129.1206659,POINT (510980.05215648294 3898568.144285479),114,1783,2251,2362,2404,2606,2538,2580,3284,2699,2999,5,143,429,20210104
부산 기장군 정관읍 용수로 4,35.3256151,129.1801176,POINT (516370.6626150071 3909168.3916286547),114,1949,1964,1950,1955,2078,2096,2252,2543,2292,2361,5,98,320,20210104
부산광역시 해운대구 해운대해변로 84 (우동),35.160586,129.1399465,POINT (512745.3546141657 3890860.6412807065),114,2161,2245,2456,2620,2829,3061,3175,3447,3128,3337,5,165,552,20210104
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149,POINT (505751.4975136253 3890338.2432387522),84,2100,2945,3729,4444,4921,4902,5121,5602,5309,5159,5,254,616,20210109
부산광역시 금정구 금사로 217,35.2301064,129.1206659,POINT (510980.05215648294 3898568.144285479),84,1764,2596,2834,3099,3229,3135,3103,3639,2934,3342,5,214,391,20210109
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045,POINT (506963.52201884694 3896020.215066697),84,1907,2593,2828,2942,2909,3222,3669,4156,3486,3944,5,199,128,20210109
부산 동래구 명장로 32,35.2047638,129.1042668,POINT (509490.75695474923 3895755.9540068014),84,1811,2711,2755,2601,2512,2302,2169,2368,1863,2286,10,162,110,20210109
