주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
부산광역시 부산진구 전포대로209번길 26,35.1559398,129.063149,POINT (505751.4975136253 3890338.2432387522),162,2252,2600,3157,3770,4155,4268,4207,5058,4800,4418,5,255,1031,20220104
부산광역시 사상구 모덕로 2,35.1824537,128.976956,POINT (497901.8751577844 3893277.034230654),162,1482,1475,1342,1270,1226,1211,1205,1124,1079,1223,6,28,253,20220104
부산광역시 금정구 금사로 217,35.2301064,129.1206659,POINT (510980.05215648294 3898568.144285479),167,1752,2391,2585,2816,2859,2981,3138,3525,2878,3246,5,185,651,20220104
부산광역시 해운대구 센텀동로 191,35.1827807,129.1202801,POINT (510951.29819314217 3893319.6785135884),168,2002,1805,2000,2106,2263,2959,3041,2828,2191,3324,5,112,526,20220104
부산광역시 북구 용당로16번길 22,35.2328515,129.0089178,POINT (500811.45200485893 3898865.943786873),167,1832,2595,2626,2628,2457,2602,2456,2652,2428,2532,6,166,253,20220104
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521,POINT (502063.1312824335 3890253.9888881603),168,1928,1826,1870,1914,2044,2167,2253,2379,2088,2394,5,92,605,20220104
부산 사상구 삼덕로 83,35.1739233,128.9856419,POINT (498692.57796052453 3892330.8687092853),162,1477,1468,1362,1279,1251,1221,1214,1126,1101,1205,6,28,253,20220104
부산 수영구 광안로21번가길 57,35.1570488,129.1181685,POINT (510762.43056331616 3890465.7959430926),162,2349,2401,2869,3131,3173,3408,3418,4140,3816,3524,5,217,775,20220104
부산 금정구 부곡로156번길 7,35.2298287,129.0927353,POINT (508438.52154108864 3898534.6168875108),168,1982,2059,2285,1954,2051,1997,2086,2465,1995,2307,5,97,455,20220104
부산광역시 해운대구 해운대해변로 84 (우동),35.160586,129.1399465,POINT (512745.3546141657 3890860.6412807065),163,2105,2020,2262,2371,2668,3014,3065,3564,3203,3349,5,140,752,20220104
부산 기장군 기장읍 읍내로 69,35.2459958,129.2121378,POINT (519299.8277695134 3900344.2366887503),168,2093,2426,2687,3090,3249,3540,3614,4160,3801,3665,5,212,474,20220104
부산 연제구 중앙대로 1001,35.1800626,129.0745963,POINT (506792.0911102238 3893014.1667127283),162,1863,1921,1979,1939,2024,2146,2099,2114,1901,2145,5,96,441,20220104
부산광역시 강서구 체육공원로 43,35.209732,128.9738117,POINT (497616.38787982654 3896302.263003819),162,1418,1436,1333,1245,1198,1186,1174,1105,1081,1181,6,24,253,20220104
부산 해운대구 양운로 91,35.1709056,129.1742568,POINT (515868.09657888475 3892010.0128196743),168,1916,2347,2413,2365,2379,2421,2410,2807,2193,2467,5,139,568,20220104
부산 금정구 청룡로 25,35.2752872,129.089844,POINT (508170.8625717864 3903575.7624749863),160,1759,1958,2157,2082,2242,2214,2153,2571,2130,2445,5,110,504,20220104
부산 북구 덕천2길 10,35.20825,129.0066182,POINT (500602.3876390696 3896137.6151377317),166,1940,1761,2003,1834,1827,1847,1888,2897,2478,2278,5,85,367,20220104
부산 동래구 명장로 32,35.2047638,129.1042668,POINT (509490.75695474923 3895755.9540068014),162,2021,2433,2433,2412,2311,2221,2390,2686,2035,2364,6,143,353,20220104
부산 동래구 중앙대로1335번길 38,35.2071674,129.0765045,POINT (506963.52201884694 3896020.215066697),163,1892,2225,2399,2195,2331,2569,2782,3537,2872,3168,5,122,446,20220104
부산 기장군 정관읍 용수로 4,35.3256151,129.1801176,POINT (516370.6626150071 3909168.3916286547),162,1948,1758,1810,1712,1823,1894,2056,2201,2118,2194,5,73,350,20220104
부산 사상구 삼덕로 83,35.1739233,128.9856419,POINT (498692.57796052453 3892330.8687092853),312,7820,6795,5902,5291,5431,5133,4889,3082,3059,4600,9,255,516,20220109
부산광역시 부산진구 개금온정로17번길 51,35.1551944,129.0226521,POINT (502063.1312824335 3890253.9888881603),354,1699,1544,1668,1809,1997,2080,2256,2477,2106,2452,5,83,678,20220109
부산광역시 사상구 모덕로 2,35.1824537,128.976956,POINT (497901.8751577844 3893277.034230654),312,3694,2928,2742,2587,2529,2427,2417,1963,1980,2325,8,162,516,20220109
부산광역시 해운대구 센텀동로 191,35.1827807,129.1202801,POINT (510951.29819314217 3893319.6785135884),354,1672,1621,1863,2074,2252,3026,3248,2948,2249,3484,5,109,583,20220109
부산광역시 금정구 금사로 217,35.2301064,129.1206659,POINT (510980.05215648294 3898568.144285479),360,1670,2881,3111,3282,3535,3431,3516,3841,3310,3469,5,231,823,20220109
부산 수영구 광안로21번가길 57,35.1570488,129.1181685,POINT (510762.43056331616 3890465.7959430926),348,2517,2297,2676,2870,3083,3283,3285,3490,3510,3053,5,188,765,20220109
부산광역시 북구 용당로16번길 22,35.2328515,129.0089178,POINT (500811.45200485893 3898865.943786873),366,1640,2797,2792,2793,2569,2611,2750,2820,2756,2601,5,184,431,20220109
부산 금정구 부곡로156번길 7,35.2298287,129.0927353,POINT (508438.52154108864 3898534.6168875108),360,1724,2077,2367,2051,1982,2048,2050,2537,2050,2427,5,107,585,20220109
