도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),84.0,1700.0,1681.0,1810.0,1795.0,1878.0,1947.0,1926.0,2190.0,1856.0,2023.0,5.0,82.0,214.0,20190103
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),84.0,1420.0,1390.0,1530.0,1514.0,1616.0,1730.0,1951.0,1867.0,1672.0,1920.0,5.0,52.0,230.0,20190103
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),84.0,2020.0,1644.0,1890.0,2130.0,2386.0,2613.0,2744.0,3413.0,2768.0,2967.0,5.0,113.0,265.0,20190103
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),84.0,1380.0,1484.0,1627.0,1930.0,2163.0,2365.0,2589.0,3461.0,2813.0,2975.0,5.0,94.0,174.0,20190103
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),84.0,1611.0,1906.0,2226.0,2453.0,2719.0,2937.0,3033.0,3522.0,2909.0,3295.0,5.0,143.0,360.0,20190103
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),84.0,1630.0,1459.0,1569.0,1679.0,1882.0,2207.0,2186.0,2513.0,2186.0,2275.0,5.0,69.0,316.0,20190103
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),84.0,1847.0,1773.0,1833.0,1773.0,1737.0,1740.0,1800.0,2596.0,2290.0,2332.0,5.0,79.0,196.0,20190103
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),114.0,1852.0,1947.0,1991.0,1960.0,1931.0,2042.0,2070.0,2166.0,1880.0,2125.0,5.0,99.0,345.0,20190108
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),114.0,1564.0,1697.0,1780.0,1992.0,2193.0,2417.0,2600.0,3458.0,2806.0,2802.0,5.0,99.0,288.0,20190108
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),114.0,1617.0,1866.0,2041.0,2257.0,2440.0,2651.0,2806.0,3501.0,3004.0,3065.0,3.0,129.0,323.0,20190108
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),114.0,1837.0,1891.0,1953.0,2003.0,2125.0,2262.0,2418.0,2767.0,2445.0,2466.0,5.0,102.0,384.0,20190108
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),114.0,1890.0,1819.0,1838.0,1771.0,1907.0,1949.0,2003.0,2449.0,2158.0,2214.0,5.0,77.0,317.0,20190108
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),114.0,1676.0,1761.0,1792.0,1776.0,1965.0,1918.0,1949.0,2006.0,1818.0,2021.0,5.0,82.0,448.0,20190108
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),114.0,1919.0,1851.0,1990.0,2244.0,2483.0,2636.0,2790.0,3544.0,2917.0,2962.0,5.0,129.0,390.0,20190108
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),108.0,1974.0,1961.0,2010.0,2161.0,2371.0,2568.0,2679.0,3405.0,2739.0,2937.0,5.0,120.0,358.0,20190113
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),108.0,2060.0,1957.0,1924.0,1853.0,1892.0,1918.0,2083.0,2673.0,2085.0,2257.0,5.0,86.0,342.0,20190113
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),108.0,2045.0,2119.0,2269.0,2483.0,2714.0,2853.0,2987.0,3533.0,2932.0,3178.0,5.0,149.0,391.0,20190113
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),108.0,2078.0,2011.0,2102.0,2163.0,2309.0,2430.0,2527.0,2636.0,2302.0,2632.0,5.0,119.0,416.0,20190113
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),108.0,2012.0,1876.0,2009.0,2225.0,2455.0,2586.0,2753.0,3505.0,2848.0,2892.0,5.0,126.0,345.0,20190113
