도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),102.0,2316.0,3030.0,3045.0,3039.0,2201.0,2490.0,2875.0,1756.0,1596.0,2780.0,11.0,214.0,132.0,20230102
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),102.0,1782.0,1443.0,1492.0,1600.0,1939.0,2254.0,1893.0,1638.0,1462.0,1933.0,11.0,62.0,270.0,20230102
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),102.0,2102.0,1861.0,2072.0,2264.0,2415.0,2379.0,2489.0,2631.0,2274.0,2486.0,5.0,127.0,106.0,20230102
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),102.0,1470.0,1518.0,1733.0,2005.0,2298.0,2531.0,2762.0,3063.0,2469.0,3032.0,5.0,105.0,130.0,20230102
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),102.0,1583.0,1639.0,1850.0,2012.0,2199.0,2558.0,2714.0,2923.0,2465.0,2841.0,5.0,103.0,214.0,20230102
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),102.0,2107.0,2031.0,2039.0,2107.0,2426.0,2915.0,2666.0,1808.0,1611.0,2737.0,11.0,112.0,342.0,20230102
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),102.0,2261.0,2289.0,2333.0,2423.0,2586.0,2625.0,2591.0,1971.0,1766.0,2732.0,11.0,145.0,201.0,20230102
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),96.0,1823.0,1616.0,1663.0,1724.0,1921.0,1898.0,2178.0,2405.0,2104.0,2194.0,5.0,76.0,730.0,20230112
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),96.0,1710.0,1627.0,1659.0,1675.0,1971.0,2007.0,2149.0,2176.0,1990.0,2102.0,5.0,70.0,831.0,20230112
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),96.0,1690.0,1721.0,1886.0,2025.0,2239.0,2464.0,2666.0,3002.0,2497.0,2873.0,5.0,102.0,823.0,20230112
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),96.0,1567.0,1599.0,1751.0,1953.0,2123.0,2313.0,2474.0,3026.0,2439.0,2763.0,5.0,95.0,597.0,20230112
