도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),84.0,1791.0,1682.0,1845.0,1760.0,1828.0,1810.0,1792.0,2024.0,1710.0,1963.0,5.0,76.0,135.0,20220107
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),84.0,1492.0,1429.0,1494.0,1512.0,1582.0,1742.0,1872.0,1875.0,1627.0,1936.0,5.0,53.0,196.0,20220107
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),84.0,1877.0,2030.0,2346.0,2596.0,2695.0,2730.0,2701.0,3279.0,3048.0,2717.0,5.0,160.0,200.0,20220107
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),84.0,1541.0,1574.0,1696.0,1856.0,2114.0,2392.0,2629.0,3251.0,2523.0,2919.0,5.0,89.0,138.0,20220107
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),84.0,1701.0,1817.0,1959.0,2122.0,2300.0,2598.0,2761.0,3173.0,2656.0,2963.0,5.0,115.0,201.0,20220107
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),84.0,1601.0,1510.0,1580.0,1623.0,1802.0,1882.0,2091.0,2280.0,1972.0,2212.0,5.0,63.0,340.0,20220107
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),84.0,1840.0,1636.0,1678.0,1700.0,1784.0,1802.0,1854.0,2419.0,2094.0,1952.0,5.0,72.0,128.0,20220107
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),168.0,471.0,510.0,491.0,555.0,634.0,659.0,925.0,718.0,758.0,2.0,50.0,208.0,,20220112
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),168.0,780.0,774.0,827.0,892.0,1044.0,1082.0,1471.0,1211.0,1139.0,7.0,85.0,208.0,,20220112
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),168.0,1240.0,1357.0,1505.0,1793.0,2097.0,2153.0,1953.0,1581.0,2385.0,5.0,154.0,318.0,,20220112
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),168.0,1393.0,1623.0,1888.0,1973.0,2050.0,2160.0,2254.0,2032.0,2143.0,5.0,193.0,242.0,,20220112
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),168.0,418.0,484.0,510.0,583.0,670.0,658.0,1037.0,807.0,832.0,2.0,53.0,208.0,,20220112
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),168.0,717.0,773.0,750.0,750.0,840.0,888.0,989.0,767.0,1047.0,2.0,74.0,208.0,,20220112
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),168.0,712.0,805.0,1006.0,1259.0,1650.0,1851.0,2108.0,1569.0,2184.0,7.0,100.0,208.0,,20220112
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),90.0,2001.0,1953.0,1997.0,2021.0,2172.0,2241.0,2387.0,2714.0,2352.0,2546.0,5.0,104.0,368.0,20220117
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),90.0,1485.0,1476.0,1577.0,1754.0,2011.0,2239.0,2467.0,3253.0,2592.0,2750.0,5.0,77.0,262.0,20220117
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),90.0,2131.0,2334.0,2585.0,2803.0,2863.0,2917.0,3035.0,3639.0,3265.0,3124.0,5.0,183.0,364.0,20220117
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),90.0,1518.0,1418.0,1419.0,1396.0,1447.0,1433.0,1481.0,1413.0,1265.0,1568.0,3.0,41.0,267.0,20220117
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),90.0,1628.0,1515.0,1453.0,1427.0,1432.0,1449.0,1464.0,1333.0,1242.0,1493.0,3.0,43.0,267.0,20220117
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),90.0,7070.0,6830.0,6715.0,6898.0,7089.0,7065.0,7107.0,7729.0,7291.0,7264.0,8.0,255.0,267.0,20220117
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),90.0,1654.0,1661.0,1809.0,2003.0,2323.0,2614.0,2734.0,3282.0,2646.0,2981.0,5.0,102.0,371.0,20220117
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),102.0,1888.0,1906.0,1975.0,1949.0,2013.0,2038.0,1991.0,2190.0,1928.0,2117.0,5.0,97.0,341.0,20220127
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),102.0,1693.0,1549.0,1631.0,1702.0,1952.0,2125.0,2147.0,2287.0,2008.0,2279.0,5.0,70.0,480.0,20220127
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),102.0,1617.0,1562.0,1609.0,1618.0,1671.0,1821.0,1794.0,1780.0,1534.0,1834.0,5.0,60.0,469.0,20220127
