도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),540.0,1830.0,1668.0,1881.0,1979.0,2306.0,2461.0,2607.0,2769.0,2374.0,2721.0,5.0,101.0,497.0,20200207
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),588.0,1608.0,1664.0,1899.0,2130.0,2464.0,2832.0,2993.0,3707.0,2886.0,3342.0,5.0,113.0,474.0,20200207
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),576.0,2125.0,2084.0,2292.0,2449.0,2627.0,2659.0,2757.0,3294.0,2876.0,2753.0,5.0,146.0,441.0,20200207
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),120.0,7853.0,7620.0,7183.0,7182.0,7460.0,7254.0,7178.0,6917.0,6651.0,7085.0,9.0,255.0,644.0,20200303
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),120.0,4811.0,4635.0,4188.0,3986.0,4089.0,4020.0,4109.0,3767.0,3746.0,4242.0,9.0,255.0,644.0,20200303
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),120.0,7091.0,6818.0,6398.0,6521.0,6944.0,6811.0,6627.0,6625.0,5992.0,6350.0,9.0,255.0,644.0,20200303
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),120.0,4433.0,4522.0,4229.0,4150.0,4166.0,3917.0,3929.0,3700.0,3555.0,4054.0,9.0,255.0,644.0,20200303
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),120.0,6340.0,5474.0,5105.0,4947.0,5553.0,5683.0,5678.0,5301.0,5289.0,5657.0,9.0,255.0,644.0,20200303
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),120.0,11115.0,10961.0,10479.0,10474.0,10888.0,10756.0,10694.0,9068.0,8077.0,10514.0,9.0,255.0,644.0,20200303
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),120.0,3544.0,3282.0,3222.0,3163.0,3385.0,3488.0,3595.0,3608.0,3315.0,3709.0,8.0,220.0,644.0,20200303
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),102.0,2063.0,1990.0,2069.0,2026.0,2100.0,2126.0,2395.0,3028.0,2597.0,2591.0,5.0,105.0,418.0,20200308
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),102.0,2077.0,2023.0,2120.0,2093.0,2201.0,2115.0,2226.0,2453.0,2194.0,2345.0,5.0,110.0,389.0,20200308
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),102.0,1816.0,1821.0,1948.0,2030.0,2233.0,2497.0,2411.0,2559.0,2201.0,2545.0,5.0,105.0,415.0,20200308
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),102.0,2190.0,2259.0,2460.0,2598.0,2757.0,2824.0,2834.0,3407.0,2992.0,2818.0,5.0,162.0,406.0,20200308
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),102.0,1795.0,1802.0,1959.0,2093.0,2432.0,2927.0,3101.0,3665.0,2881.0,3287.0,5.0,111.0,470.0,20200308
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),102.0,1998.0,2048.0,2255.0,2420.0,2625.0,2866.0,3002.0,3568.0,2993.0,3247.0,5.0,143.0,546.0,20200308
