주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
광주 동구 서남로 1,35.1458908,126.9230497,POINT (310797.75865170476 3891196.5905304034),,,,,,,,,,,,,,,20230112
광주광역시 북구 모룡대길 68,35.2179317,126.8926976,POINT (308201.797193969 3899245.877970171),119.0,2386.0,2698.0,3029.0,3082.0,3004.0,3160.0,3120.0,2812.0,2612.0,2996.0,11.0,210.0,606.0,20230112
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),120.0,1878.0,1811.0,1904.0,1982.0,2030.0,1921.0,2139.0,2878.0,2703.0,2822.0,5.0,100.0,717.0,20230112
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20230112
광주광역시 광산구 평동산단로 184-1,35.1235111,126.7693154,POINT (296735.17687942414 3889017.3224814087),,,,,,,,,,,,,,,20230112
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),120.0,2467.0,2246.0,2499.0,2718.0,2597.0,2697.0,2789.0,3067.0,2926.0,2685.0,5.0,176.0,465.0,20230112
광주 광산구 광산로 70,35.140714,126.7988702,POINT (299470.93671329145 3890865.614630747),120.0,1071.0,1127.0,1255.0,1105.0,1071.0,1037.0,1032.0,1027.0,1036.0,1012.0,6.0,10.0,306.0,20230112
광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상),35.229323,126.8618795,POINT (305423.6307351225 3900569.4388093716),120.0,1627.0,1696.0,1890.0,2207.0,2349.0,2515.0,2783.0,3231.0,2649.0,2947.0,5.0,122.0,603.0,20230112
광주 북구 북문대로 79,35.1767683,126.8772214,POINT (306695.44474952196 3894709.8088276684),120.0,1437.0,1166.0,1247.0,1260.0,1360.0,1398.0,1431.0,1562.0,1375.0,1414.0,5.0,28.0,306.0,20230112
광주 북구 군왕로 141번길 6 (두암보건지소),35.1741893,126.9325198,POINT (311725.83140428225 3894317.591738831),120.0,1752.0,2199.0,2339.0,2429.0,2428.0,2547.0,2427.0,2407.0,2184.0,2354.0,5.0,144.0,478.0,20230112
광주광역시 남구 덕남길 7,35.1007431,126.8972005,POINT (308336.845210586 3886238.10446562),,,,,,,,,,,,,,,20230112
광주 서구 상무자유로 170,35.1512744,126.8527189,POINT (304402.77874101966 3891929.8107322683),120.0,1492.0,1354.0,1383.0,1388.0,1375.0,1445.0,1405.0,1605.0,1542.0,1288.0,5.0,40.0,374.0,20230112
광주 서구 상무대로 1165 (광주시립미술관 상록전시관 단독건물),35.1550857,126.8885084,POINT (307672.3476625132 3892282.777749469),120.0,1326.0,1302.0,1463.0,1547.0,1896.0,2077.0,2304.0,2333.0,1876.0,2545.0,5.0,56.0,590.0,20230112
광주 동구 서남로 1,35.1458908,126.9230497,POINT (310797.75865170476 3891196.5905304034),120.0,1683.0,1922.0,2032.0,2179.0,2123.0,2207.0,2155.0,2214.0,2085.0,2133.0,5.0,124.0,654.0,20230112
광주광역시 광산구 우산동 1026-2,35.1577625,126.8100651,POINT (300532.626457934 3892734.2350041606),120.0,1798.0,1880.0,2083.0,2197.0,2488.0,2962.0,2958.0,2842.0,2454.0,3205.0,5.0,121.0,799.0,20230112
광주광역시 북구 모룡대길 68,35.2179317,126.8926976,POINT (308201.797193969 3899245.877970171),131,2335,2677,3029,3090,3016,3169,3132,2819,2616,2996,11,213,609,20230112
광주 서구 상무대로 1165 (광주시립미술관 상록전시관 단독건물),35.1550857,126.8885084,POINT (307672.3476625132 3892282.777749469),132,1248,1245,1431,1531,1888,2078,2311,2348,1884,2559,5,54,585,20230112
광주 서구 상무자유로 170,35.1512744,126.8527189,POINT (304402.77874101966 3891929.8107322683),132,1413,1296,1347,1369,1359,1431,1391,1612,1552,1278,5,38,473,20230112
광주광역시 남구 덕남길 7,35.1007431,126.8972005,POINT (308336.845210586 3886238.10446562),,,,,,,,,,,,,,,20230112
광주광역시 광산구 우산동 1026-2,35.1577625,126.8100651,POINT (300532.626457934 3892734.2350041606),132,1665,1827,2053,2180,2480,2965,2962,2845,2456,3208,5,119,796,20230112
광주 북구 북문대로 79,35.1767683,126.8772214,POINT (306695.44474952196 3894709.8088276684),132,1355,1104,1209,1237,1348,1384,1417,1570,1386,1405,5,26,473,20230112
광주 북구 군왕로 141번길 6 (두암보건지소),35.1741893,126.9325198,POINT (311725.83140428225 3894317.591738831),,,,,,,,,,,,,,,20230112
광주 광산구 광산로 70,35.140714,126.7988702,POINT (299470.93671329145 3890865.614630747),132,2245,2235,2483,2650,2654,2540,2725,2566,2484,2583,5,168,630,20230112
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),132,2292,2178,2457,2695,2581,2685,2779,3056,2914,2670,5,173,466,20230112
광주광역시 광산구 평동산단로 184-1,35.1235111,126.7693154,POINT (296735.17687942414 3889017.3224814087),,,,,,,,,,,,,,,20230112
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20230112
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),132,1802,1760,1874,1966,2018,1910,2132,2881,2707,2827,5,98,718,20230112
광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상),35.229323,126.8618795,POINT (305423.6307351225 3900569.4388093716),132,1551,1643,1861,2194,2340,2512,2786,3236,2650,2947,5,123,604,20230112
광주광역시 남구 덕남길 7,35.1007431,126.8972005,POINT (308336.845210586 3886238.10446562),,,,,,,,,,,,,,,20230117
광주 북구 군왕로 141번길 6 (두암보건지소),35.1741893,126.9325198,POINT (311725.83140428225 3894317.591738831),108.0,1822.0,2437.0,2485.0,2561.0,2583.0,2417.0,2528.0,2696.0,2454.0,2584.0,5.0,157.0,179.0,20230117
광주 북구 북문대로 79,35.1767683,126.8772214,POINT (306695.44474952196 3894709.8088276684),108.0,1542.0,1461.0,1485.0,1486.0,1553.0,1621.0,1597.0,1742.0,1561.0,1659.0,5.0,51.0,196.0,20230117
광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상),35.229323,126.8618795,POINT (305423.6307351225 3900569.4388093716),108.0,1638.0,1731.0,1927.0,2174.0,2328.0,2547.0,2660.0,3429.0,2867.0,2962.0,5.0,121.0,244.0,20230117
광주광역시 북구 모룡대길 68,35.2179317,126.8926976,POINT (308201.797193969 3899245.877970171),107.0,2099.0,2856.0,2949.0,3080.0,2869.0,3165.0,3036.0,2829.0,2687.0,3169.0,5.0,213.0,221.0,20230117
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),108.0,2614.0,2493.0,2683.0,2928.0,2719.0,2941.0,2976.0,3044.0,2962.0,3047.0,5.0,197.0,196.0,20230117
광주광역시 광산구 평동산단로 184-1,35.1235111,126.7693154,POINT (296735.17687942414 3889017.3224814087),,,,,,,,,,,,,,,20230117
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20230117
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),108.0,2063.0,2145.0,2163.0,2238.0,2241.0,2197.0,2422.0,3337.0,3113.0,2449.0,5.0,127.0,299.0,20230117
광주 서구 상무자유로 170,35.1512744,126.8527189,POINT (304402.77874101966 3891929.8107322683),108.0,1668.0,1679.0,1670.0,1651.0,1767.0,1756.0,1851.0,1788.0,1658.0,1767.0,5.0,67.0,196.0,20230117
광주 광산구 광산로 70,35.140714,126.7988702,POINT (299470.93671329145 3890865.614630747),108.0,3207.0,2966.0,3057.0,3107.0,3224.0,3525.0,3644.0,4184.0,3738.0,3784.0,10.0,211.0,196.0,20230117
