주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
광주 동구 서남로 1,35.1458908,126.9230497,POINT (310797.75865170476 3891196.5905304034),,,,,,,,,,,,,,,20220107
광주광역시 광산구 평동산단로 184-1,35.1235111,126.7693154,POINT (296735.17687942414 3889017.3224814087),,,,,,,,,,,,,,,20220107
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20220107
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),120,1793,1810,1785,1896,2047,2097,2350,3232,2923,3056,5,92,163,20220107
광주광역시 북구 모룡대길 68,35.2179317,126.8926976,POINT (308201.797193969 3899245.877970171),119,2072,2465,2763,2878,2967,3244,3160,3192,2971,3205,5,193,178,20220107
광주 동구 서남로 1,35.1458908,126.9230497,POINT (310797.75865170476 3891196.5905304034),90.0,1615.0,1495.0,1575.0,1580.0,1629.0,1668.0,1608.0,1804.0,1621.0,1561.0,5.0,60.0,113.0,20220107
광주 서구 상무대로 1165 (광주시립미술관 상록전시관 단독건물),35.1550857,126.8885084,POINT (307672.3476625132 3892282.777749469),90.0,1377.0,1305.0,1440.0,1491.0,1670.0,1825.0,1951.0,2174.0,1772.0,2279.0,5.0,49.0,109.0,20220107
광주 서구 상무자유로 170,35.1512744,126.8527189,POINT (304402.77874101966 3891929.8107322683),90.0,1565.0,1460.0,1478.0,1451.0,1612.0,1684.0,1581.0,1909.0,1664.0,1860.0,5.0,45.0,148.0,20220107
광주광역시 남구 덕남길 7,35.1007431,126.8972005,POINT (308336.845210586 3886238.10446562),,,,,,,,,,,,,,,20220107
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),120,2244,2040,2298,2431,2499,2398,2391,2824,2570,2585,5,147,119,20220107
광주 북구 군왕로 141번길 6 (두암보건지소),35.1741893,126.9325198,POINT (311725.83140428225 3894317.591738831),90.0,1745.0,1958.0,1976.0,2030.0,2257.0,2329.0,2226.0,2434.0,2065.0,2231.0,5.0,107.0,109.0,20220107
광주 북구 첨단과기로 333 (광주테크노파크 벤처지원센터 옥상),35.229323,126.8618795,POINT (305423.6307351225 3900569.4388093716),90.0,1600.0,1508.0,1704.0,1971.0,2143.0,2237.0,2467.0,3129.0,2707.0,2848.0,5.0,96.0,109.0,20220107
광주 광산구 광산로 70,35.140714,126.7988702,POINT (299470.93671329145 3890865.614630747),90.0,1170.0,1192.0,1293.0,1126.0,1082.0,1054.0,1055.0,1021.0,1027.0,1036.0,6.0,13.0,109.0,20220107
광주 광산구 하남산단 6번로 107,35.204245,126.8072045,POINT (300385.7816490326 3897896.143140977),90.0,2403.0,2112.0,2328.0,2437.0,2499.0,2402.0,2390.0,2815.0,2567.0,2583.0,5.0,149.0,109.0,20220107
광주광역시 광산구 평동산단로 184-1,35.1235111,126.7693154,POINT (296735.17687942414 3889017.3224814087),,,,,,,,,,,,,,,20220107
광주 남구 회서로 21번가길 13,35.1319519,126.8933355,POINT (308057.7613781259 3889707.351826575),,,,,,,,,,,,,,,20220107
광주광역시 서구 천변우하로 203,35.1633863,126.8493017,POINT (304120.50750823144 3893280.0567061477),90.0,1899.0,1885.0,1837.0,1923.0,2072.0,2115.0,2356.0,3214.0,2915.0,3037.0,5.0,94.0,165.0,20220107
